file_name,assembly_idx
001.mol,9
002.mol,9
003.mol,10
004.mol,12
005.mol,10
006.mol,14
007.mol,12
008.mol,7
009.mol,10
010.mol,12
011.mol,11
012.mol,14
013.mol,10
014.mol,11
015.mol,10
016.mol,8
017.mol,14
018.mol,9
019.mol,12
020.mol,11
021.mol,14
022.mol,10
023.mol,12
024.mol,16
025.mol,10
026.mol,7
027.mol,15
028.mol,14
029.mol,9
030.mol,7
031.mol,10
032.mol,11
033.mol,10
034.mol,11
035.mol,9
036.mol,10
037.mol,12
038.mol,12
039.mol,12
040.mol,9
041.mol,11
042.mol,9
043.mol,10
044.mol,12
045.mol,15
046.mol,14
047.mol,8
048.mol,13
049.mol,13
050.mol,16
051.mol,14
052.mol,13
053.mol,9
054.mol,7
055.mol,14
056.mol,8
057.mol,12
058.mol,10
059.mol,10
060.mol,9
061.mol,13
062.mol,17
063.mol,12
064.mol,8
065.mol,14
066.mol,11
067.mol,10
068.mol,11
069.mol,13
070.mol,14
071.mol,11
072.mol,13
073.mol,13
074.mol,14
075.mol,15
076.mol,12
077.mol,10
078.mol,10
079.mol,11
080.mol,8
081.mol,12
082.mol,10
083.mol,14
084.mol,15
085.mol,14
086.mol,12
087.mol,11
088.mol,10
089.mol,12
090.mol,13
091.mol,10
092.mol,15
093.mol,14
094.mol,11
095.mol,14
096.mol,17
097.mol,12
098.mol,12
099.mol,17
100.mol,15
101.mol,15
102.mol,11
103.mol,14
104.mol,13
105.mol,14
106.mol,13
107.mol,15
108.mol,11
109.mol,15
110.mol,14
111.mol,13
112.mol,9
113.mol,13
114.mol,11
115.mol,14
116.mol,15
117.mol,16
118.mol,11
119.mol,16
120.mol,13
121.mol,13
122.mol,12
123.mol,13
124.mol,12
125.mol,12
126.mol,14
127.mol,12
128.mol,16
129.mol,13
130.mol,11
131.mol,13
132.mol,15
133.mol,15
134.mol,14
135.mol,11
136.mol,19
137.mol,13
138.mol,17
139.mol,13
140.mol,15
141.mol,11
142.mol,14
143.mol,14
144.mol,15
145.mol,13
146.mol,16
147.mol,11
148.mol,16
149.mol,15
150.mol,18
151.mol,20
152.mol,13
153.mol,13
154.mol,15
155.mol,15
156.mol,14
157.mol,20
158.mol,16
159.mol,15
160.mol,14
161.mol,14
162.mol,16
163.mol,13
164.mol,22
165.mol,14
166.mol,14
167.mol,14
168.mol,12
169.mol,14
170.mol,16
171.mol,14
172.mol,15
173.mol,14
174.mol,16
175.mol,16
176.mol,19
177.mol,16
178.mol,13
179.mol,13
180.mol,16
181.mol,17
182.mol,17
183.mol,17
184.mol,19
185.mol,12
186.mol,14
187.mol,13
188.mol,17
189.mol,12
190.mol,16
191.mol,11
192.mol,13
193.mol,12
194.mol,9
195.mol,11
196.mol,17
197.mol,14
198.mol,16
199.mol,16
200.mol,16
201.mol,15
202.mol,19
203.mol,13
204.mol,16
205.mol,16
206.mol,18
207.mol,19
208.mol,14
209.mol,13
210.mol,18
211.mol,14
212.mol,12
213.mol,15
214.mol,15
215.mol,17
216.mol,17
217.mol,16
218.mol,11
219.mol,16
220.mol,13
